Tem,DO,BOD,COD,Chla,TN,TTP,pH,NH4N,NH3N,PO4P,SS
4,12.6,1.1,2.5,9.5,1.617,0.028,8.5,0.152,0.724,0.002,3.1
23,8.9,1.4,2.9,13.8,1.218,0.016,8.8,0.07,0.692,0.009,1.8
23,9,1.5,2.5,6.1,1.977,0.033,8,0.314,0.971,0.006,2
6,13.3,1.2,2.7,3.1,1.823,0.03,8.1,0.372,0.972,0.011,1
5,13.3,1,2.8,10.3,1.745,0.016,7.8,0.279,0.785,0.001,3.8
21,8.4,1.2,2.4,7.2,1.854,0.02,8.3,0.375,0.879,0.009,3.6
23,8.6,1.3,3.2,15.7,1.952,0.046,7.8,0.411,1.007,0.012,5.4
20,8.2,0.9,2.8,5.4,1.669,0.033,7.2,0.173,0.759,0.006,6.4
20,8.8,1.1,2.4,10.2,1.611,0.039,7.5,0.216,0.911,0.009,5
4,12.2,1,2.2,9.8,1.922,0.041,8.1,0.497,1.002,0.013,2.6
2,13.2,1,2.2,8.9,1.902,0.035,8.4,0.372,1.092,0.004,1.8
4,12.8,0.9,2.8,12.3,1.703,0.022,7.9,0.289,0.972,0.003,1.6
4,11.7,0.9,1.2,8.4,1.879,0.029,8.2,0.391,1.375,0.007,3
12,9.7,1.2,2.2,8.9,1.925,0.022,8.2,0.135,1.209,0.003,3.6
15,8,1.2,1.4,9.3,1.811,0.041,7.8,0.216,1.239,0.009,3.2
18,9.2,1,2,10.8,1.572,0.023,7.7,0.376,0.903,0.007,3.8
20,9.1,0.6,2.6,2.9,2.275,0.093,7.8,0.097,1.175,0.013,3.8
6,7.3,1.1,2.6,10.2,1.797,0.039,5.8,0.175,1.333,0.007,2
4,8.4,1,1.9,4.7,1.206,0.011,7,0.054,1.005,0.01,1.2
5,13.3,1,2.4,4.7,1.473,0.017,6.4,0.082,0.923,0.004,2.1
4,13.4,1.2,3.4,18.6,1.676,0.022,8.2,0.051,1.134,0.002,6.1
13,11.7,1.5,3.9,12.2,1.505,0.019,8.9,0.035,1.166,0.001,3.7
15,10.9,1.5,3.6,16.7,2.057,0.021,7.7,0.159,1.337,0.005,5.9
20,9.7,1.1,3.7,12.7,2.208,0.018,7.8,0.134,1.211,0.005,3.4
19.7,11.4,1.2,4.1,18.9,1.672,0.044,7.4,0.06,1.273,0.005,18.9
21.1,8.5,1.1,3.8,5.6,1.226,0.036,7.1,0.031,1.151,0,6.3
20.1,9.7,0.8,3.3,9.7,1.432,0.027,7.4,0.023,1.174,0,4.7
18,9.8,0.9,3.3,17.1,1.256,0.018,7.8,0.041,1.138,0,4.9
11.6,10.9,0.9,3.4,22.3,1.449,0.02,8,0.014,0.843,0.002,5.6
6.7,11.3,0.9,2.8,8.4,1.481,0.024,7.4,0.018,1.024,0,2.3
1.3,14.2,0.9,3.1,8.4,1.41,0.021,7.9,0.023,1.069,0,2.2
2.2,16.6,1.3,3.8,16,1.332,0.02,8.9,0.024,0.113,0,6.7
3.8,13.9,1.3,3.6,8.3,1.295,0.023,6.5,0.038,0.927,0.002,4.1
11.3,11.8,1.2,3.4,10.9,2.059,0.024,8.4,0.037,1.571,0,5
15.6,11.5,1.5,4.8,24.2,1.753,0.006,8.2,0.032,1.334,0,6.1
20.1,9.8,0.8,3,10.6,1.806,0.019,7.4,0.056,0.982,0,2.9
20.7,10.1,0.7,3,18.5,2.685,0.011,7.7,0.01,1.976,0,5.4
23.8,8.7,1,3.1,20.9,2.632,0.028,7.2,0.029,1.744,0,6.5
